Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
13021.2,11670,"76,57",,"0,5444",,,11600,,
13023.1,11280,"70,93",,"0,462",,,11210,,
13025,10880,"65,51",,"0,3909",,,10810,,
13026.9,10470,"60,33",,"0,3297",,,10410,,
13028.8,10070,"55,4",,"0,2773",,,10010,,
13030.8,9634,"50,49",,"0,2304",,,9584,,
13032.7,9223,"46,09",,"0,1927",,,9177,,
13034.6,8811,"41,95",,"0,1606",,,8769,,
13036.5,8401,"38,07",,"0,1335",,,8362,,
13038.5,7971,"34,27",,"0,1096",,,7937,,
13040.4,7567,"30,91",,"0,09052",,,7536,,
13042.3,7167,"27,81",,"0,07457",,,7139,,
13044.2,6774,"24,94",,"0,06125",,,6749,,
13046.2,6367,"22,17",,"0,04964",,,6345,,
13048.1,5989,"19,77",,"0,04053",,,5970,,
13050,5621,"17,58",,"0,03299",,,5603,,
13051.9,5262,"15,58",,"0,02678",,,5247,,
13053.8,4915,"13,77",,"0,02168",,,4901,,
13055.8,4562,"12,06",,"0,0173",,,4550,,
13057.7,4239,"10,59",,"0,01391",,,4228,,
13059.6,3929,"9,28",,"0,01116",,,3920,,
13061.5,3633,"8,107",,"0,008927",,,3625,,
13063.5,3336,"7,01",,"0,007035",,,3329,,
13065.4,3069,"6,087",,"0,005593",,,3062,,
13067.3,2815,"5,271",,"0,004433",,,2810,,
13069.2,2576,"4,55",,"0,003504",,,2571,,
13071.2,2339,"3,886",,"0,002727",,,2335,,
13073.1,2129,"3,335",,"0,002142",,,2126,,
13075,1933,"2,854",,"0,001678",,,1930,,
13076.9,1750,"2,435",,"0,001311",,,1747,,
13078.8,1580,"2,072",,"0,001021",,,1578,,
13080.8,1416,"1,742",,"0,0007822",,,1414,,
13082.7,1272,"1,474",,"0,0006055",,,1270,,
13084.6,1140,"1,243",,"0,0004674",,,1139,,
13086.5,1019,"1,045",,"0,0003597",,,1018,,
13088.5,904,"0,8679",,"0,0002722",,,"903,1",,
13090.4,805,"0,7254",,"0,0002082",,,"804,2",,
13092.3,"715,6","0,6046",,"0,0001588",,,715,,
13094.2,"635,4","0,5024",,"0,0001208",,,"634,9",,
13096.2,"560,2","0,4122",,"0,00009027",,,"559,8",,
13098.1,"497,1","0,3405",,"0,00006824",,,"496,8",,
13100,"441,6","0,2805",,"0,00005144",,,"441,3",,
13101.9,"393,2","0,2304",,"0,00003866",,,"392,9",,
13103.8,"351,4","0,1886",,"0,00002897",,,"351,2",,
13105.8,"314,3","0,1524",,"0,00002132",,,"314,1",,
13107.7,"285,1","0,1241",,"0,00001588",,,285,,
13109.6,"261,5","0,1007",,"0,00001179",,,"261,4",,
13111.5,"243,3","0,08151",,"0,000008733",,,"243,3",,
13113.5,"229,8","0,06503",,"0,000006346",,,"229,7",,
13115.4,"222,1","0,05232",,"0,000004671",,,222,,
13117.3,"219,3","0,04197",,"0,000003429",,,"219,2",,
13119.2,"221,4","0,03358",,"0,000002509",,,"221,3",,
13121.2,"228,8","0,02646",,"0,000001801",,,"228,8",,
13123.1,241,"0,02104",,"0,00000131",,,"240,9",,
13125,"258,2","0,01668",,"0,00000095",,,"258,2",,
13126.9,"280,6","0,01319",,"0,000000687",,,"280,6",,
13128.8,"308,5","0,0104",,"0,0000004954",,,"308,5",,
13130.8,344,"0,008067",,"0,00000035",,,344,,
13132.7,384,"0,006322",,"0,0000002509",,,384,,
13134.6,"430,4","0,004939",,"0,0000001793",,,"430,4",,
13136.5,"483,7","0,003848",,"0,0000001278",,,"483,7",,
13138.5,"547,7","0,002949",,"0,00000008915",,,"547,7",,
13140.4,"616,6","0,002284",,"0,00000006315",,,"616,6",,
13142.3,"693,9","0,001764",,"0,0000000446",,,"693,8",,
13144.2,"780,2","0,001358",,"0,0000000314",,,"780,2",,
13146.2,"881,4","0,001028",,"0,00000002164",,,"881,4",,
13148.1,"988,3","0,0007869",,"0,00000001515",,,"988,3",,
13150,1106,"0,0006005",,"0,00000001057",,,1106,,
13151.9,1236,"0,000457",,"0,000000007357",,,1236,,
13153.8,1378,"0,0003467",,"0,000000005104",,,1378,,
13155.8,1542,"0,0002585",,"0,000000003463",,,1542,,
13157.7,1712,"0,0001949",,"0,000000002389",,,1712,,
13159.6,1898,"0,0001466",,"0,000000001643",,,1898,,
13161.5,2099,"0,0001099",,"0,000000001126",,,2099,,
13163.5,2328,"0,00008095",,"7,547E-10",,,2328,,
13165.4,2564,"0,00006034",,"5,144E-10",,,2564,,
13167.3,2818,"0,00004485",,"3,495E-10",,,2818,,
13169.2,3092,"0,00003324",,"2,368E-10",,,3092,,
13171.2,3401,"0,00002417",,"1,567E-10",,,3401,,
13173.1,3716,"0,00001781",,"1,056E-10",,,3716,,
