'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'FALSE','TRUE','FALSE','TRUE','TRUE','FALSE',100,75,2000,70,3226171.26,-1463452.91,0.00,0.00,3122.02,-942.45,0.46,-0.23
'FALSE','TRUE','FALSE','TRUE','TRUE','FALSE',1000,75,2000,70,2210782.09,-1002849.13,0.00,0.00,3132.35,-939.48,0.70,-0.34
'FALSE','TRUE','FALSE','TRUE','FALSE','TRUE',20,75,2000,73,1.44,-0.98,0.00,0.00,2499.45,-1345.97,0.57,-0.14
'FALSE','TRUE','FALSE','TRUE','FALSE','TRUE',100,75,2000,73,5.20,-2.99,0.00,0.00,2596.45,-1426.98,2.01,-0.53
'FALSE','TRUE','FALSE','TRUE','FALSE','TRUE',1000,75,2000,73,66.13,-19.54,0.00,0.00,2104.94,-1282.83,20.39,-3.64
'FALSE','TRUE','FALSE','TRUE','FALSE','FALSE',20,75,2000,73,139.33,-72.18,0.00,0.00,2222.84,-1361.88,35.66,-16.16
'FALSE','TRUE','FALSE','TRUE','FALSE','FALSE',100,75,2000,73,139.33,-72.18,0.00,0.00,2222.84,-1361.88,35.67,-16.17
'FALSE','TRUE','FALSE','TRUE','FALSE','FALSE',1000,75,2000,73,139.33,-72.18,0.00,0.00,2222.84,-1361.88,35.66,-16.15
'FALSE','TRUE','FALSE','FALSE','TRUE','TRUE',20,75,2000,70,60558.11,-16608.75,0.00,0.00,3716.05,-1448.65,0.02,0.00
'FALSE','TRUE','FALSE','FALSE','TRUE','TRUE',100,75,2000,70,188459.16,-49827.95,0.00,0.00,3748.28,-1537.65,0.04,-0.01
'FALSE','TRUE','FALSE','FALSE','TRUE','TRUE',1000,75,2000,70,1262025.31,-225322.70,0.00,0.00,3134.69,-946.48,0.38,-0.07
'FALSE','TRUE','FALSE','FALSE','TRUE','FALSE',20,75,2000,70,4012076.95,-1819957.72,0.00,0.00,3122.20,-942.39,0.41,-0.20
'FALSE','TRUE','FALSE','FALSE','TRUE','FALSE',100,75,2000,70,3226171.26,-1463452.91,0.00,0.00,3122.02,-942.45,0.47,-0.23
'FALSE','TRUE','FALSE','FALSE','TRUE','FALSE',1000,75,2000,70,2210782.09,-1002849.13,0.00,0.00,3132.35,-939.48,0.70,-0.34
'FALSE','TRUE','FALSE','FALSE','FALSE','TRUE',20,75,2000,73,1.44,-0.98,0.00,0.00,2499.45,-1345.97,0.57,-0.14
'FALSE','TRUE','FALSE','FALSE','FALSE','TRUE',100,75,2000,73,5.20,-2.99,0.00,0.00,2596.45,-1426.98,2.00,-0.53
'FALSE','TRUE','FALSE','FALSE','FALSE','TRUE',1000,75,2000,73,66.13,-19.54,0.00,0.00,2104.94,-1282.83,20.29,-3.64
'FALSE','TRUE','FALSE','FALSE','FALSE','FALSE',20,75,2000,73,139.33,-72.18,0.00,0.00,2222.84,-1361.88,35.50,-16.11
'FALSE','TRUE','FALSE','FALSE','FALSE','FALSE',100,75,2000,73,139.33,-72.18,0.00,0.00,2222.84,-1361.88,35.49,-16.10
'FALSE','TRUE','FALSE','FALSE','FALSE','FALSE',1000,75,2000,73,139.33,-72.18,0.00,0.00,2222.84,-1361.88,35.50,-16.10
'FALSE','FALSE','TRUE','TRUE','TRUE','TRUE',20,75,2000,70,0.85,-0.64,0.27,-0.29,2744.94,-1844.50,0.02,0.00
'FALSE','FALSE','TRUE','TRUE','TRUE','TRUE',100,75,2000,70,2.94,-2.17,0.24,-0.22,2810.64,-1920.50,0.04,0.00
'FALSE','FALSE','TRUE','TRUE','TRUE','TRUE',1000,75,2000,70,24.24,-11.36,0.10,-0.11,3048.76,-1854.95,0.46,-0.12
'FALSE','FALSE','TRUE','TRUE','TRUE','FALSE',20,75,2000,70,1563.37,-289.55,0.15,-0.17,2381.66,-1480.05,16.98,-0.03
'FALSE','FALSE','TRUE','TRUE','TRUE','FALSE',100,75,2000,70,1261.04,-238.89,0.13,-0.14,2870.77,-1475.84,17.67,-0.02
'FALSE','FALSE','TRUE','TRUE','TRUE','FALSE',1000,75,2000,70,1028.56,-210.66,0.19,-0.13,2674.29,-1717.25,21.13,-0.02
'FALSE','FALSE','TRUE','TRUE','FALSE','TRUE',20,75,2000,73,0.40,-0.22,0.00,0.00,3119.41,-1622.83,0.50,-0.07
'FALSE','FALSE','TRUE','TRUE','FALSE','TRUE',100,75,2000,73,1.59,-0.70,0.00,0.00,2830.67,-1369.12,2.15,-0.40
'FALSE','FALSE','TRUE','TRUE','FALSE','TRUE',1000,75,2000,73,22.50,-6.72,0.00,0.00,3059.84,-1551.52,24.00,-6.21
'FALSE','FALSE','TRUE','TRUE','FALSE','FALSE',20,75,2000,73,535.09,-110.13,0.01,-0.01,3165.26,-1474.45,469.99,-0.31
'FALSE','FALSE','TRUE','TRUE','FALSE','FALSE',100,75,2000,73,535.09,-110.13,0.01,-0.01,3165.26,-1474.45,469.69,-0.11
'FALSE','FALSE','TRUE','TRUE','FALSE','FALSE',1000,75,2000,73,535.09,-110.13,0.01,-0.01,3165.26,-1474.45,469.73,-0.13
'FALSE','FALSE','TRUE','FALSE','TRUE','TRUE',20,75,2000,70,0.85,-0.64,0.27,-0.29,2744.94,-1844.50,0.02,0.00
'FALSE','FALSE','TRUE','FALSE','TRUE','TRUE',100,75,2000,70,2.96,-2.22,0.12,-0.14,3041.33,-1679.12,0.04,0.00
